country,loss,weeks,deaths,gdp,private,internet,hlo,vac,stringency,union,polity,loggdp,logweeks,weeks2,pop,schooling,wbcode,region_code,hlo25,oecd,covid,high,covid25
Argentina,0.44,39,288,8585.69,26.0801,86,457.418,65.0681,67.0396,27.7,9,9.057853,3.663562,1521,45000000,9.51,ARG,Latin America and the Caribbean,18.2967,0,413.418,0,16.5367
Australia,0.01,8,60.37,51680.3,29.5387,90,544.36,64,61,13.7,10,10.85283,,64,26000000,11.54,AUS,Advanced Economies,21.7744,1,543.36,1,21.7344
Bangladesh,0.28,63,17.84,2270.35,23.9035,25,340.088,17,70,11.9,-6,7.727688,4.143135,3969,170000000,5.91,BGD,South Asia,13.6035,0,312.088,0,12.4835
Belgium,0.23,9,284.67,45189.4,54.1784,92,340.088,87,50,49.1,8,10.71862,2.197225,81,11000000,10.69,BEL,Advanced Economies,13.6035,1,317.088,1,12.6835
Botswana,0.29,11,118.6,6348.83,6.93809,64,417.656,12,50,30,8,8.756026,2.397895,121,2300000,9.55,BWA,Sub-Saharan Africa,16.7062,0,388.656,0,15.5462
Brazil,0.32,38,323.07,6814.88,18.657,81,465.452,64,60,13,8,8.826863,3.637586,1444,210000000,7.89,BRA,Latin America and the Caribbean,18.6181,0,433.452,0,17.3381
Cambodia,0.45,40,18.28,1547.51,5.6809,33,491.948,82,71,9.6,-4,7.344403,3.688879,1600,16000000,4.72,KHM,East Asia and the Pacific,19.6779,0,446.948,0,17.8779
Canada,0.17,26,119,43258.3,6.36286,97,543.098,87.3568,69.4643,29.4,10,10.67494,3.258096,676,37000000,12.32,CAN,Advanced Economies,21.7239,1,526.098,1,21.0439
Chile,0.25,14,320.8,13220.6,62.6325,88,493.872,115,66,17.1,10,9.48953,2.639057,196,19000000,9.78,CHL,Latin America and the Caribbean,19.7549,1,468.872,0,18.7549
China,0.22,7,1.09,10408.7,8.47976,70,456,105,71,44.3,-7,9.250395,1.94591,49,1400000000,7.95,CHN,East Asia and the Pacific,18.24,0,434,0,17.36
Colombia,0.24,23,278.69,5312.2,19.9098,70,466.312,49,61,4.7,7,8.577761,3.135494,529,50000000,8.95,COL,Latin America and the Caribbean,18.6525,0,442.312,0,17.6925
Czech,0.08,9,98.31,27681.6,10.2287,91,481.298,70,55,11.4,9,10.22852,2.197225,81,11000000,12.8,CZE,Europe and Central Asia,19.2519,1,473.298,0,18.9319
Denmark,0.03,8,122.83,61063.3,17.3794,97,547.492,88,46,67,10,11.01967,2.079442,64,5800000,11.3,DNK,Advanced Economies,21.8997,1,544.492,1,21.7797
England,0.17,10,65.22,3798.64,13.8438,55,389.583,104,58,28.4,8,8.242397,2.302585,100,55000000,12.24,GBR,Advanced Economies,15.5833,1,372.583,1,14.9033
